	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
globally	0.000	4.000	4.000	4.000	0.000	0.001	0.001
fusion	5.000	9.000	4.000	14.000	0.001	0.001	0.000
compression	3.000	7.000	4.000	10.000	0.000	0.001	0.000
wasserstein	1.000	5.000	4.000	6.000	0.000	0.001	0.000
siamese	0.000	4.000	4.000	4.000	0.000	0.001	0.001
realworld	0.000	4.000	4.000	4.000	0.000	0.001	0.001
concepts	1.000	5.000	4.000	6.000	0.000	0.001	0.000
dehazing	0.000	4.000	4.000	4.000	0.000	0.001	0.001
360	1.000	5.000	4.000	6.000	0.000	0.001	0.000
mining	2.000	6.000	4.000	8.000	0.000	0.001	0.000
reinforcement	7.000	11.000	4.000	18.000	0.001	0.001	0.000
content	1.000	5.000	4.000	6.000	0.000	0.001	0.000
grounding	1.000	5.000	4.000	6.000	0.000	0.001	0.000
importance	0.000	4.000	4.000	4.000	0.000	0.001	0.001
ordinal	0.000	4.000	4.000	4.000	0.000	0.001	0.001
rgb	0.000	4.000	4.000	4.000	0.000	0.001	0.001
expression	1.000	5.000	4.000	6.000	0.000	0.001	0.000
maximization	1.000	5.000	4.000	6.000	0.000	0.001	0.000
curves	0.000	4.000	4.000	4.000	0.000	0.001	0.001
map	3.000	7.000	4.000	10.000	0.000	0.001	0.000
clouds	1.000	5.000	4.000	6.000	0.000	0.001	0.000
structure	5.000	9.000	4.000	14.000	0.001	0.001	0.000
graphs	3.000	7.000	4.000	10.000	0.000	0.001	0.000
latent	5.000	9.000	4.000	14.000	0.001	0.001	0.000
cnn	6.000	10.000	4.000	16.000	0.001	0.001	0.000
enhancement	1.000	5.000	4.000	6.000	0.000	0.001	0.000
synthetic	1.000	5.000	4.000	6.000	0.000	0.001	0.000
environments	1.000	5.000	4.000	6.000	0.000	0.001	0.000
interactive	2.000	6.000	4.000	8.000	0.000	0.001	0.000
beyond	3.000	7.000	4.000	10.000	0.000	0.001	0.000
explicit	1.000	5.000	4.000	6.000	0.000	0.001	0.000
multistage	0.000	4.000	4.000	4.000	0.000	0.001	0.001
look	4.000	7.000	3.000	11.000	0.001	0.001	0.000
sensor	0.000	3.000	3.000	3.000	0.000	0.000	0.000
time	1.000	4.000	3.000	5.000	0.000	0.001	0.000
losses	0.000	3.000	3.000	3.000	0.000	0.000	0.000
boundary	1.000	4.000	3.000	5.000	0.000	0.001	0.000
lesion	0.000	3.000	3.000	3.000	0.000	0.000	0.000
small	2.000	5.000	3.000	7.000	0.000	0.001	0.000
bidirectional	2.000	5.000	3.000	7.000	0.000	0.001	0.000
referring	2.000	5.000	3.000	7.000	0.000	0.001	0.000
lowshot	0.000	3.000	3.000	3.000	0.000	0.000	0.000
best	0.000	3.000	3.000	3.000	0.000	0.000	0.000
faces	5.000	8.000	3.000	13.000	0.001	0.001	0.000
frame	3.000	6.000	3.000	9.000	0.000	0.001	0.000
